Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Double-Strand Break Repair (GO:2000781)	6/97	0.012526741402585691	0.6062657316462619	0	0	3.3075510607644283	14.486708517440034	SMARCB1;SMARCC2;TRRAP;MGMT;DPF1;KMT5B
Endonucleolytic Clvg in ITS1 to Sep SSU-rRNA Fm 5.8S rRNA and LSU-rRNA Fm Tricistronic rRNA Trans (GO:0000447)	2/9	0.012777870423375824	0.6062657316462619	0	0	14.247909850963286	62.121463669348664	ABT1;NOP9
Regulation of DNA Repair (GO:0006282)	7/129	0.014236229308269982	0.6062657316462619	0	0	2.8811264154132163	12.250449266173762	KAT2A;SMARCB1;SMARCC2;TRRAP;RADX;DPF1;SUPT7L
Homophilic Cell-Cell Adhesion (GO:0007156)	5/73	0.014701841740526668	0.6062657316462619	0	0	3.683446455505279	15.543342909476987	PALLD;HMCN2;CNTN2;L1CAM;PVR
Stress Granule Assembly (GO:0034063)	3/27	0.01573823846595724	0.6062657316462619	0	0	6.243941326530612	25.922733665498043	DYNC1H1;MAPT;BICD1
Negative Regulation of Hormone Secretion (GO:0046888)	2/10	0.01576548828039246	0.6062657316462619	0	0	12.466284987277353	51.734235164756555	IL11;GJA1
Cholesterol Metabolic Process (GO:0008203)	5/76	0.017244418519703653	0.6062657316462619	0	0	3.527266161068978	14.3216415190246	CYP11A1;FDX1;LCAT;TSKU;TM7SF2
Positive Regulation of Cytoskeleton Organization (GO:0051495)	5/76	0.017244418519703653	0.6062657316462619	0	0	3.527266161068978	14.3216415190246	CARMIL1;DYNC1H1;CRACD;SASS6;F2RL1
Host-mediated Perturbation of Viral Transcription (GO:0043921)	3/28	0.017373868379216024	0.6062657316462619	0	0	5.993877551020408	24.29191512556537	SMARCB1;PSMC3;LEF1
Chemical Synaptic Transmission (GO:0007268)	11/268	0.01799953040370799	0.6062657316462619	0	0	2.156574254215305	8.663842133798598	CORT;DLG1;HOMER1;HRH3;GABRA5;PLP1;GRIK4;SLC17A8;AGRN;TSPOAP1;DRD5
Regulation of T Cell Differentiation (GO:0045580)	4/51	0.018055830799544266	0.6062657316462619	0	0	4.257060456004789	17.089060788128016	KAT2A;SMARCB1;SMARCC2;ZMIZ1
Epithelial to Mesenchymal Transition (GO:0001837)	4/51	0.018055830799544266	0.6062657316462619	0	0	4.257060456004789	17.089060788128016	CUL7;LEF1;SOX9;AMELX
Central Nervous System Neuron Axonogenesis (GO:0021955)	2/11	0.01901980315551103	0.6062657316462619	0	0	11.080576759966073	43.90428753091546	SPTBN4;ARHGAP35
Regulation of Mesenchymal Stem Cell Differentiation (GO:2000739)	2/11	0.01901980315551103	0.6062657316462619	0	0	11.080576759966073	43.90428753091546	SOX9;WNT3
Regulation of Store-Operated Calcium Entry (GO:2001256)	2/11	0.01901980315551103	0.6062657316462619	0	0	11.080576759966073	43.90428753091546	HOMER1;HOMER3
Urate Metabolic Process (GO:0046415)	2/11	0.01901980315551103	0.6062657316462619	0	0	11.080576759966073	43.90428753091546	CARMIL1;PNP
Negative Regulation of Centrosome Duplication (GO:0010826)	2/11	0.01901980315551103	0.6062657316462619	0	0	11.080576759966073	43.90428753091546	KAT2A;RBM14
Regulation of Nucleotide-Excision Repair (GO:2000819)	3/29	0.019100743669743573	0.6062657316462619	0	0	5.763049450549451	22.81031114309649	SMARCB1;SMARCC2;DPF1
Microtubule Polymerization or Depolymerization (GO:0031109)	3/29	0.019100743669743573	0.6062657316462619	0	0	5.763049450549451	22.81031114309649	KIF24;MAPT;FGF13
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	4/52	0.019264238682435257	0.6062657316462619	0	0	4.168158567774936	16.462162353350784	SMARCB1;SMARCC2;DPF1;KNL1
Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	4/52	0.019264238682435257	0.6062657316462619	0	0	4.168158567774936	16.462162353350784	FGA;CARMIL1;RCC2;CSPG5
